Designator,Mid X,Mid Y,Rotation,Layer
C1,65.7,-37.3,270.0,top
C2,40.4,-40.05,270.0,top
C3,82.6,-38.8,0.0,top
C4,71.2,-38.8,0.0,top
C5,59.8,-38.8,0.0,top
C6,48.4,-38.8,0.0,top
R1,48.768,-21.7125,270.0,top
R10,29.5,-29.2,180.0,top
R2,45.0,-21.7125,270.0,top
R3,33.75,-29.0,0.0,top
R4,33.75,-25.9,0.0,top
R5,33.75,-22.2,0.0,top
R6,33.75,-19.0,0.0,top
R7,29.5,-19.0,180.0,top
R8,29.5,-22.2,180.0,top
R9,29.5,-25.9,180.0,top
U2,32.7,-40.0,0.0,top
U3,82.6,-43.0,90.0,top
U4,71.2,-43.0,90.0,top
U5,59.8,-43.0,90.0,top
U6,48.4,-43.0,90.0,top
